



Trustor	Trustee	Sign	RES	YEA
1	490	1	1	2013
2	490	1	1	2013
3	490	1	1	2013
4	490	1	1	2013
5	490	1	1	2013
6	490	1	1	2013
7	490	1	1	2013
8	490	1	1	2013
9	490	1	1	2013
10	490	1	1	2013
11	490	1	1	2013
12	490	1	1	2013
13	490	1	1	2013
14	490	1	1	2013
15	490	1	1	2013
16	490	1	1	2013
17	490	1	1	2013
18	490	1	1	2013
19	490	1	1	2013
20	490	1	1	2013
21	490	1	1	2013
22	490	1	1	2013
23	490	1	1	2013
24	490	1	1	2013
25	490	1	1	2013
26	490	1	1	2013
27	490	1	1	2013
28	490	1	1	2013
29	490	1	1	2013
30	490	1	1	2013
31	490	1	1	2013
32	490	1	1	2013
33	490	1	1	2013
34	490	1	1	2013
35	490	1	1	2013
36	490	1	1	2013
37	490	1	1	2013
38	490	1	1	2013
39	490	1	1	2013
40	490	1	1	2013
41	490	1	1	2013
42	490	1	1	2013
43	490	1	1	2013
44	490	1	1	2013
45	490	1	1	2013
46	490	1	1	2013
47	490	1	1	2013
48	490	1	1	2013
49	490	1	1	2013
50	490	1	1	2013
51	490	1	1	2013
52	490	1	1	2013
53	490	1	1	2013
54	490	1	1	2013
55	490	1	1	2013
56	490	1	1	2013
57	490	1	1	2013
58	490	1	1	2013
59	490	1	1	2013
60	490	1	1	2013
61	490	1	1	2013
62	490	1	1	2013
63	490	1	1	2013
64	490	1	1	2013
65	490	1	1	2013
66	490	1	1	2013
67	490	1	1	2013
68	490	1	1	2013
69	490	1	1	2013
70	490	1	1	2013
71	490	1	1	2013
72	490	1	1	2013
73	490	1	1	2013
74	490	1	1	2013
75	490	1	1	2013
76	490	1	1	2013
77	490	1	1	2013
78	490	1	1	2013
79	490	1	1	2013
80	490	1	1	2013
81	490	1	1	2013
82	490	1	1	2013
83	490	1	1	2013
84	490	1	1	2013
85	490	1	1	2013
86	490	1	1	2013
87	490	1	1	2013
88	490	1	1	2013
89	490	1	1	2013
90	490	1	1	2013
91	490	1	1	2013
92	490	1	1	2013
93	490	1	1	2013
94	490	1	1	2013
95	490	1	1	2013
96	490	1	1	2013
97	490	1	1	2013
98	490	1	1	2013
99	490	1	1	2013
100	490	1	1	2013
101	490	1	1	2013
102	490	1	1	2013
103	490	1	1	2013
104	490	1	1	2013
105	490	1	1	2013
106	490	1	1	2013
107	490	1	1	2013
108	490	1	1	2013
109	490	1	1	2013
110	490	1	1	2013
111	490	1	1	2013
112	490	1	1	2013
113	490	1	1	2013
114	490	1	1	2013
115	490	1	1	2013
116	490	1	1	2013
117	490	1	1	2013
118	490	1	1	2013
119	490	1	1	2013
120	490	-1	1	2013
121	490	-1	1	2013
122	490	-1	1	2013
123	490	-1	1	2013
124	490	-1	1	2013
125	490	-1	1	2013
126	490	-1	1	2013
127	490	-1	1	2013
128	490	-1	1	2013
129	490	-1	1	2013
130	490	-1	1	2013
131	490	-1	1	2013
132	490	-1	1	2013
133	490	-1	1	2013
134	490	0	1	2013
135	490	0	1	2013
136	490	0	1	2013
137	490	0	1	2013
12	1095	1	1	2013
138	1095	1	1	2013
107	1095	1	1	2013
139	1095	1	1	2013
45	1095	1	1	2013
140	1095	1	1	2013
141	1095	1	1	2013
15	1095	1	1	2013
43	1095	1	1	2013
104	1095	1	1	2013
5	1095	1	1	2013
22	1095	1	1	2013
142	1095	1	1	2013
9	1095	1	1	2013
143	1095	1	1	2013
144	1095	1	1	2013
145	1095	1	1	2013
146	1095	1	1	2013
42	1095	1	1	2013
46	1095	1	1	2013
147	1095	1	1	2013
148	1095	1	1	2013
149	1095	1	1	2013
150	1095	1	1	2013
55	1095	1	1	2013
151	1095	1	1	2013
152	1095	1	1	2013
27	1095	1	1	2013
153	1095	1	1	2013
154	1095	1	1	2013
155	1095	1	1	2013
156	1095	1	1	2013
41	1095	1	1	2013
137	1095	1	1	2013
157	1095	1	1	2013
47	1095	1	1	2013
52	1095	1	1	2013
158	1095	1	1	2013
159	1095	1	1	2013
86	1095	1	1	2013
113	1095	1	1	2013
78	1095	1	1	2013
100	1095	1	1	2013
31	1095	1	1	2013
59	1095	1	1	2013
160	1095	1	1	2013
3	1095	1	1	2013
123	1095	1	1	2013
161	1095	1	1	2013
162	1095	1	1	2013
163	1095	1	1	2013
164	1095	1	1	2013
165	1095	1	1	2013
166	1095	1	1	2013
29	1095	1	1	2013
167	1095	1	1	2013
19	1095	1	1	2013
66	1095	1	1	2013
168	1095	1	1	2013
169	1095	1	1	2013
170	1095	1	1	2013
171	1095	1	1	2013
172	1095	1	1	2013
16	1095	1	1	2013
173	1095	1	1	2013
174	1095	1	1	2013
68	1095	1	1	2013
112	1095	1	1	2013
49	1095	1	1	2013
53	1095	1	1	2013
69	1095	1	1	2013
115	1095	1	1	2013
175	1095	1	1	2013
176	1095	1	1	2013
177	1095	1	1	2013
178	1095	1	1	2013
133	1095	1	1	2013
179	1095	1	1	2013
180	1095	1	1	2013
74	1095	1	1	2013
181	1095	1	1	2013
182	1095	1	1	2013
76	1095	1	1	2013
33	1095	1	1	2013
183	1095	1	1	2013
26	1095	1	1	2013
50	1095	1	1	2013
184	1095	1	1	2013
185	1095	1	1	2013
30	1095	1	1	2013
125	1095	1	1	2013
186	1095	1	1	2013
187	1095	1	1	2013
188	1095	1	1	2013
95	1095	1	1	2013
134	1095	1	1	2013
111	1095	1	1	2013
189	1095	1	1	2013
190	1095	1	1	2013
191	1095	1	1	2013
192	1095	1	1	2013
98	1095	1	1	2013
193	1095	1	1	2013
194	1095	1	1	2013
101	1095	1	1	2013
195	1095	1	1	2013
54	1095	1	1	2013
10	1095	1	1	2013
196	1095	1	1	2013
197	1095	1	1	2013
198	1095	1	1	2013
199	1095	1	1	2013
14	1095	1	1	2013
200	1095	1	1	2013
201	1095	1	1	2013
81	1095	1	1	2013
129	1095	1	1	2013
202	1095	1	1	2013
102	1095	1	1	2013
203	1095	1	1	2013
204	1095	1	1	2013
24	1095	1	1	2013
205	1095	1	1	2013
206	1095	1	1	2013
87	1095	1	1	2013
92	1095	1	1	2013
51	1095	1	1	2013
207	1095	1	1	2013
84	1095	1	1	2013
208	1095	1	1	2013
97	1095	1	1	2013
209	1095	1	1	2013
210	1095	1	1	2013
61	1095	1	1	2013
122	1095	-1	1	2013
211	1095	-1	1	2013
212	1095	0	1	2013
213	332	1	1	2013
214	332	1	1	2013
188	332	1	1	2013
112	332	1	1	2013
215	332	1	1	2013
216	332	1	1	2013
217	332	1	1	2013
181	332	1	1	2013
218	332	1	1	2013
3	332	1	1	2013
219	332	1	1	2013
220	332	1	1	2013
72	332	1	1	2013
221	332	1	1	2013
222	332	1	1	2013
79	332	1	1	2013
24	332	1	1	2013
44	332	1	1	2013
21	332	1	1	2013
223	332	1	1	2013
224	332	1	1	2013
123	332	1	1	2013
41	332	1	1	2013
225	332	1	1	2013
226	332	1	1	2013
227	332	1	1	2013
228	332	1	1	2013
52	332	1	1	2013
229	332	1	1	2013
230	332	1	1	2013
205	332	1	1	2013
5	332	1	1	2013
16	332	1	1	2013
9	332	1	1	2013
60	332	1	1	2013
231	332	1	1	2013
232	332	1	1	2013
111	332	1	1	2013
